"","Cs","Ters","hs","a","v","t0"
"1",0.265242232219316,0.280698137381114,0.520609879959375,0.575960089569895,1.90053213599015,0.301694962012591
"2",0.263870450027753,0.240953133697622,0.380477787554264,0.724801898346392,1.78647709481969,0.292658910819861
"3",0.176302537776064,0.126139999739826,0.460544164013118,0.657694332284263,1.47413376316036,0.157305405691456
"4",0.121207778749522,0.403120849886909,0.381850564759225,0.696341966857384,0.930498266942204,0.458357525599109
"5",0.202222409623209,0.165826952806674,0.263125425763428,0.791562890051724,1.38767720953425,0.245948824824093
"6",0.110669955145568,0.551144934166223,0.347826901264489,0.707168714976254,0.939210581357203,0.617847841297166
"7",0.309428674622905,0.578014916065149,0.3349608999677,0.768033978155597,2.14793028823377,0.640663902557487
"8",0.126499131182209,0.153675322793424,0.306524023972452,0.759616565619719,0.952364604120556,0.225999294986957
"9",0.320195567433257,0.175421702349558,0.375231524650007,0.697251845073699,2.18921910160052,0.234524552384133
"10",0.177362581109628,0.290899225650355,0.415058113448322,0.74383297200369,1.24002764735185,0.326952752865162
"11",0.13575503421016,0.47845076888334,0.502191698085517,0.603794794752765,1.1013886800948,0.503750178331724
"12",0.216864318109583,0.344474964565597,0.216351767629385,0.890461977003588,1.23834651228695,0.428427901124724
"13",0.186298999423161,0.270348814339377,0.503341367468238,0.576650096099322,1.36433194764328,0.297892918148144
"14",0.362904364021961,0.385157379927114,0.490584957040846,0.596847322011796,2.5129106914509,0.415641231304799
"15",0.0576290184399113,0.40733698385302,0.326210534200072,0.743511119540485,0.137498033298509,0.477104355704168
"16",0.223521730944049,0.265079022641294,0.293144375365227,0.839122267586958,1.4938970725267,0.329604111083232
"17",0.0745544636971317,0.378636382776313,0.428582619782537,0.679927476731696,0.582030088128054,0.420994571541055
"18",0.135389856260736,0.273153940937482,0.502139446046203,0.626356487754579,1.12004909052318,0.296842033462924
"19",0.0895264497143217,0.261355122574605,0.416974329110235,0.686673109822955,0.800941502167298,0.305343737544828
"20",0.133447331446223,0.494319599028677,0.432411089818925,0.734170374363035,0.923172232905214,0.5284964992789
"21",0.244894039677456,0.534017163119279,0.293301920313388,0.732034534516766,1.68842914793273,0.611927700848894
"22",0.250938444805797,0.477700915327296,0.289838958159089,0.753423537067572,1.689549062128,0.559503740365238
"23",0.0931507594999857,0.464987692795694,0.409616955928504,0.71824347589283,0.778845408094103,0.507805651299983
"24",0.0515983653604053,0.422226999793202,0.559958987031132,0.492083373640387,0.245462791597566,0.437465162159658
"25",0.194168101600371,0.269384407927282,0.325014036241919,0.846503813672258,1.4968124044715,0.321917952349693
"26",0.0551287164213136,0.540363802481443,0.213213200122118,0.783969198783475,0.464037877111535,0.651845536291229
"27",0.314011796622071,0.580120293330401,0.448390652239323,0.654362529719182,2.35325540689762,0.62044132089488
"28",0.104947622225154,0.406542391306721,0.315341648180038,0.749632451962309,0.88608592018857,0.479118374425079
"29",0.212883698602673,0.576356845581904,0.542272975016385,0.554767074694915,1.78889741946639,0.592233587247224
"30",0.244858307542745,0.23034674199298,0.359405700024217,0.781594659856114,1.64133577392525,0.282259595730045
"31",0.311495667882264,0.479510645056143,0.568863158952445,0.487908776847113,2.11226148332411,0.491899795863542
"32",0.309339931386057,0.28685519322753,0.569145689625293,0.509446658094335,1.77072530693573,0.297207771587629
"33",0.0560026924707927,0.547403346886858,0.425305836368352,0.751631146053019,0.405843845110999,0.58056961585694
"34",0.150033604970668,0.465893745212816,0.311416011117399,0.772324842075946,1.16187789130121,0.531428814256469
"35",0.397411879745778,0.52720413801726,0.253767680283636,0.857305588751143,2.55950758193348,0.605118423025282
"36",0.0862860366236419,0.447833890584297,0.21010381905362,0.818445051126366,0.446654836812021,0.55040689965899
"37",0.113009727688041,0.495278415409848,0.255141481291503,0.885643720337725,0.783219279089025,0.565578034053672
"38",0.127234733453952,0.233112158626318,0.571236196998507,0.480975510489217,0.908272604471018,0.244167543575356
"39",0.143857504881453,0.146343643218279,0.363012737780809,0.791409153693397,1.04726475208963,0.194795504866165
"40",0.362733026023489,0.284575384831987,0.380297528766096,0.696049876305122,2.35689267582192,0.3408437337747
"41",0.0531404414097779,0.533860946097411,0.429308369290084,0.722927894488985,0.379750294981524,0.569914805935412
"42",0.220565908402205,0.498888519848697,0.427716499939561,0.686011497648951,1.52145482082336,0.541931052318101
"43",0.0566199984052219,0.251109692524187,0.260320225544274,0.767765945371265,0.430033021752151,0.339290631817454
"44",0.0920110906823538,0.225727997277863,0.328391245659441,0.741136763929935,0.533310943962651,0.291499473095632
"45",0.360579204722308,0.568585000839084,0.449670650716871,0.673262035602773,2.43528089082616,0.604435278638842
"46",0.361627771798521,0.182261097268201,0.436725914664567,0.662792801812407,2.43779433285034,0.223926017540828
"47",0.162341989704873,0.553937199665233,0.20927457138896,0.831160067753083,1.1128334159785,0.654939313863675
"48",0.0504112198017538,0.379312323196791,0.53867756370455,0.60232825690332,0.163788571915863,0.392315514621646
"49",0.150379342411179,0.476330616767518,0.585757658351213,0.433618830757127,0.870157803681757,0.48657881335111
"50",0.115388918842655,0.220880976784974,0.588481860235333,0.451153201755279,0.582143161018828,0.230046080300335
"51",0.265871597069781,0.405429060012102,0.30819042455405,0.780451695986359,1.64616694201314,0.470058961029894
"52",0.299165608570911,0.427771891490556,0.22004307853058,0.850278494561134,1.98910627152909,0.523926137136913
"53",0.273046851193067,0.168260235595517,0.404968449100852,0.733007179407922,1.8598040716307,0.212185534589849
"54",0.136235717928503,0.140108804474585,0.476900576706976,0.618279818804879,0.952707003293273,0.175274679365779
"55",0.266565982555039,0.555990950460546,0.276104010827839,0.740672932783606,1.84119290907194,0.645359384379501
"56",0.328240740345791,0.492722589080222,0.39592193653807,0.726640805549822,2.22772078326722,0.538462031085303
"57",0.257154591800645,0.119974747207016,0.433319837320596,0.676919817262916,1.85803754857515,0.158276825373171
"58",0.269323112780694,0.474444428249262,0.434477298799902,0.662460418809516,1.75984876834917,0.51575960735771
"59",0.287120639916975,0.535901783290319,0.570345881581307,0.472772474861265,1.99954000986428,0.549899031772646
"60",0.0711951994802803,0.316759304981679,0.593950898200273,0.442392050647105,0.643253300229668,0.325381950820905
"61",0.287690881616436,0.592662881035358,0.564058022294194,0.465970510022382,1.93451840171273,0.609499170929876
"62",0.384644908888731,0.223509044875391,0.246296805888414,0.815698911085027,2.5877672377368,0.309938926446612
"63",0.304126832541078,0.167909669014625,0.503942402731627,0.579640723089876,1.97403307708529,0.192411559526287
"64",0.163755298184697,0.33548443603795,0.357981843687594,0.73437905320915,1.523100182238,0.394309598524941
"65",0.389208061585669,0.329234128375538,0.363584141153842,0.894905739185703,2.7900348547132,0.367592740134611
"66",0.288102370745037,0.496129725733772,0.266038589831442,0.801818443148139,1.84786420746657,0.577271062369048
"67",0.300480431842152,0.532419221615419,0.597044163756072,0.419033505666099,2.07082563322508,0.540450046047457
"68",0.159513786202297,0.204208989767358,0.502595804817975,0.575695546016215,1.0741259805539,0.228210549757387
"69",0.32348921262892,0.168112740758806,0.274347610492259,0.808468647766348,2.07387756271845,0.245568930481556
"70",0.100765957764816,0.220533712790348,0.231487102713436,0.753037828678783,0.669625897345332,0.32273143510799
"71",0.339866209740285,0.242501414404251,0.553730497695506,0.490760979972325,2.50540450565365,0.261661776137993
"72",0.283311487815809,0.185227615432814,0.443082850426435,0.613705095070521,1.83628135491311,0.230126638919303
"73",0.121590856299736,0.116991845564917,0.558787695411593,0.51923621710663,0.794390752136951,0.130308369904931
"74",0.222515212185681,0.358344299043529,0.34934024354443,0.763398820313876,1.45861347130546,0.414733862696364
"75",0.2538989648805,0.503712966595776,0.314554476179183,0.784678035330321,1.66813162287882,0.568406366103649
"76",0.266010357113555,0.140309458388947,0.205401824787259,0.859275736599369,1.49079754995554,0.239478598749547
"77",0.301984118588734,0.490967213083059,0.211428664904088,0.818913863808039,2.00332320821133,0.592081095232859
"78",0.274859702913091,0.259623327315785,0.42039217017591,0.671114736680989,1.94070660453134,0.306503897189363
"79",0.237329463777132,0.224808039749041,0.434967683348805,0.680643069291657,1.69278004391448,0.260602863101506
"80",0.186767555773258,0.565156896156259,0.273955064825714,0.784058572968207,1.26803444453026,0.64566837073629
"81",0.106397677399218,0.506036571599543,0.35440907003358,0.720935808497646,0.683837638091336,0.569834594179654
"82",0.30646719369106,0.447327665193006,0.341291322000325,0.700717686395485,2.18476893082996,0.514365999984606
"83",0.166998377651908,0.226569403917529,0.420495167560875,0.697180041058483,1.6258973755504,0.270835509036495
"84",0.295036720845383,0.293458235007711,0.524121728073806,0.586686270170542,2.12804220249357,0.313361266141408
"85",0.165107617294416,0.579433569707908,0.57488626986742,0.481151184392558,1.31375439888471,0.591460744401329
"86",0.199199669912923,0.597243623365648,0.53845095410943,0.537805133456639,1.33312933693476,0.615551797060455
"87",0.366396833711769,0.21976275104098,0.302231310214847,0.836263064126433,2.40105526958699,0.283337105328735
"88",0.0800220228731632,0.535297862510197,0.296942841354758,0.774120295364123,0.462037499469714,0.60877716543492
"89",0.293117018893827,0.491703508095816,0.279931714572012,0.756309154856971,2.02262068473327,0.57585839923362
"90",0.255657839181367,0.359752297773957,0.258299168664962,0.817102142889429,1.76519277077402,0.44211399992082
"91",0.206502048508264,0.175862255762331,0.472291294112802,0.691115216038979,1.66326479718237,0.200830628546646
"92",0.0908796544652432,0.516482599335723,0.373605907708406,0.777120475179509,0.626135896246351,0.563385529147022
"93",0.13654229589738,0.508070034580305,0.353457740880549,0.824965278088381,1.04332902363503,0.554814440773326
"94",0.11969340343494,0.261012229509652,0.495776808355004,0.578185433368545,0.852174900722785,0.290416957269344
"95",0.216892545029987,0.400876150839031,0.350363043695688,0.707026297879827,1.5002027130788,0.465620170205795
"96",0.283778474165592,0.336624744837172,0.492499416973442,0.598600799129314,2.08360411227948,0.365086364956588
"97",0.245566861983389,0.426035336358473,0.553413475956768,0.494369764300989,1.65521222693269,0.443077182202018
"98",0.209339194640052,0.275045219715685,0.382313001714647,0.729228427173354,1.42407184158798,0.324535330673477
"99",0.258833686436992,0.147090739710256,0.34348015813157,0.726672700254774,1.81082791965176,0.211222801774313
"100",0.0640767443925142,0.338621510216035,0.57810512650758,0.45799485098091,0.47901268648845,0.352616359439088
